Time Step,Robot ID,X,Y,Degree,SD Est
6,21,333.87366,50.70481,1,1
6,22,-293.04114,273.3246,2,1.8000001
6,23,-193.43663,121.56126,0,0
7,0,-279.3314,243.13263,1,1.2
7,1,2.8356593,-14.049804,0,0
7,2,-194.2891,252.40425,0,0
7,3,-176.24005,-311.97412,0,0
7,4,307.9133,203.97473,2,1.8000001
7,5,-304.37735,118.14613,0,0
7,6,13.288255,-173.86975,0,0
7,7,116.74685,230.65627,2,2
7,8,-163.87386,-160.50992,1,1
7,9,11.164076,-269.74994,0,0
7,10,182.65741,229.6317,2,2
7,11,276.51163,52.295464,1,1
7,12,320.73785,267.5863,1,1.2
7,13,-157.46097,365.895,1,0.8
7,14,-89.25742,369.2143,1,1
7,15,311.55118,147.86069,1,1.2
7,16,-166.24226,-180.46213,1,1
7,17,130.96062,244.71727,2,2
7,18,-351.7787,300.99268,1,1.2
7,19,355.2218,348.18784,0,0
7,20,-302.37756,30.080107,0,0
7,21,335.9213,48.51227,1,1
7,22,-291.5667,270.7119,2,1.8000001
7,23,-190.87502,123.1227,0,0
8,0,-276.7211,244.61128,1,1.2
8,1,-0.03629303,-14.91692,0,0
8,2,-193.87021,255.37486,0,0
8,3,-176.54407,-308.98956,0,0
8,4,310.73904,202.96713,2,1.8000001
8,5,-303.11816,115.42318,0,0
8,6,10.935007,-175.73045,0,0
8,7,113.908585,231.63673,2,2
8,8,-163.74504,-157.51268,1,1
8,9,13.484411,-271.65152,0,0
8,10,179.66173,229.7926,2,2
8,11,277.67642,55.060104,1,1
8,12,318.09448,269.00497,1,1.2
8,13,-157.26105,368.8883,1,1
8,14,-92.17461,368.51428,1,1
8,15,309.45685,145.71272,1,1.2
8,16,-164.8455,-177.80711,1,1
8,17,128.42809,243.10909,2,2
8,18,-349.668,303.12457,1,1.2
8,19,354.4157,345.29816,0,0
8,20,-305.34155,29.61664,0,0
8,21,338.24512,46.614937,1,1
8,22,-290.9055,267.78568,2,1.8000001
8,23,-188.2558,124.58548,0,0
9,0,-273.8957,245.61983,1,1.2
9,1,-2.697131,-16.30254,0,0
9,2,-193.5732,258.36014,0,0
9,3,-176.60387,-305.99017,0,0
9,4,312.95026,200.93968,2,1.8000001
9,5,-302.9546,112.42764,0,0
9,6,8.645346,-177.66887,0,0
9,7,111.51436,233.45006,2,2
9,8,-162.97311,-154.6137,1,1
9,9,15.324724,-274.02075,0,0
9,10,176.7851,230.64406,2,2
9,11,278.47247,57.95256,1,1
9,12,315.5521,270.59753,1,1.2
9,13,-157.61899,371.86688,1,1
9,14,-95.1746,368.5085,1,1
9,15,307.89218,143.15308,1,1.2
9,16,-163.67941,-175.04301,1,1
9,17,131.12636,244.4203,2,2
9,18,-347.94904,305.58328,0,0
9,19,354.27933,342.30127,0,0
9,20,-308.21982,28.770674,0,0
9,21,340.27072,44.40205,1,1
9,22,-290.37247,264.8334,1,1
9,23,-185.81192,126.32544,0,0
10,0,-270.90878,245.89978,1,1
10,1,-5.1090565,-18.086529,0,0
10,2,-192.61339,261.20245,0,0
10,3,-177.0316,-303.0208,0,0
10,4,313.88632,198.08946,1,1
10,5,-302.22458,109.517815,0,0
10,6,5.9340105,-178.95287,0,0
10,7,110.36822,236.22249,2,2
10,8,-162.35857,-151.6773,1,1
10,9,16.05374,-276.93082,0,0
10,10,173.81154,231.0415,2,2
10,11,279.50525,60.769184,1,1
10,12,312.7499,271.66888,0,0
10,13,-157.46475,374.8629,1,1
10,14,-98.10908,367.88495,1,1
10,15,306.38058,140.56172,1,1
10,16,-162.25906,-172.40056,1,1
10,17,133.60896,246.10454,2,2
10,18,-346.66144,308.2929,0,0
10,19,354.10004,339.30664,0,0
10,20,-311.12674,28.029243,0,0
10,21,342.66818,42.59866,1,1
10,22,-289.26642,262.04474,1,1
10,23,-183.32892,128.0091,0,0
11,0,-268.07233,246.87677,1,1
11,1,-7.672219,-19.64544,0,0
11,2,-191.78331,264.08533,0,0
11,3,-177.1266,-300.0223,0,0
11,4,314.65976,195.19089,1,1
11,5,-302.55176,106.53571,0,0
11,6,3.0674613,-179.83768,0,0
11,7,109.15482,238.96616,2,2
11,8,-162.59409,-148.68657,1,1
11,9,17.01466,-279.77277,0,0
11,10,170.84059,231.45796,2,2
11,11,279.95535,63.735226,1,1
11,12,309.982,272.8259,0,0
11,13,-158.10536,377.79373,1,1
11,14,-100.8479,366.66068,1,1
11,15,304.49023,138.23222,1,1
11,16,-160.72719,-169.82115,1,1
11,17,136.19693,247.6219,2,2
11,18,-345.26297,310.94702,0,0
11,19,354.16623,336.30737,0,0
11,20,-314.10434,28.39506,0,0
11,21,345.35733,41.268818,1,1
11,22,-288.75677,259.08835,1,1
11,23,-180.88316,129.7464,0,0
12,0,-265.8542,248.89664,1,1
12,1,-10.194067,-21.270332,0,0
12,2,-191.64603,267.08218,0,0
12,3,-177.28876,-297.0267,0,0
12,4,315.32196,192.2649,1,1
12,5,-303.08847,103.584114,0,0
12,6,0.49616647,-181.38313,0,0
12,7,109.07425,241.96507,2,2
12,8,-163.98146,-146.02664,1,1
12,9,17.332834,-282.75586,0,0
12,10,167.84363,231.32312,2,2
12,11,280.5912,66.66707,0,0
12,12,307.40067,274.35455,0,0
12,13,-157.65656,380.75998,1,1
12,14,-103.695366,365.71625,1,1
12,15,302.83035,135.73326,1,1
12,16,-159.69516,-167.00426,1,1
12,17,138.69098,249.28914,2,2
12,18,-343.637,313.46817,0,0
12,19,354.46512,333.3223,0,0
12,20,-317.07388,27.96864,0,0
12,21,347.919,39.707478,0,0
12,22,-288.02106,256.17996,1,1
12,23,-178.19232,131.0728,0,0
13,0,-263.8449,251.12436,1,1
13,1,-12.488378,-23.203241,0,0
13,2,-190.61711,269.90024,0,0
13,3,-176.50719,-294.1303,0,0
13,4,315.72137,189.2916,1,1
13,5,-303.4811,100.60992,0,0
13,6,-1.1189708,-183.91124,0,0
13,7,109.60155,244.91837,2,2
13,8,-164.586,-143.08818,1,1
13,9,17.643782,-285.73972,0,0
13,10,164.8456,231.43166,2,2
13,11,281.23544,69.59708,1,1
13,12,304.7885,275.8299,0,0
13,13,-157.00873,383.6892,1,1
13,14,-106.685905,365.47815,1,1
13,15,300.5728,133.75754,2,1.8000001
13,16,-159.64627,-164.00465,1,1
13,17,141.25957,250.8391,2,2
13,18,-341.4299,315.5001,0,0
13,19,354.88657,330.35205,0,0
13,20,-320.06055,27.68594,0,0
13,21,350.01077,37.55702,0,0
13,22,-287.27756,253.27356,1,1
13,23,-175.47095,132.33537,0,0
14,0,-261.44275,252.92148,1,1
14,1,-14.060966,-25.758034,0,0
14,2,-189.65298,272.7411,0,0
14,3,-175.69862,-291.24133,0,0
14,4,315.72208,186.2916,1,1.2
