Time Step,Robot ID,X,Y,Degree,SD Est
1,0,92.075356,213.27379,0,0
1,1,58.833252,96.46916,1,1
1,2,24.656263,-258.75427,0,0
1,3,-44.20635,122.63272,0,0
1,4,-133.3087,311.93918,1,1
1,5,298.55548,126.858864,2,2
1,6,296.2811,108.74148,2,2
1,7,388.26498,-209.85464,0,0
1,8,132.01105,-137.15254,1,1
1,9,213.70984,103.2725,0,0
1,10,231.37796,-229.16266,0,0
1,11,379.00238,-325.2792,1,1
1,12,94.12977,112.41015,1,1
1,13,-14.258008,-168.08022,0,0
1,14,-111.24122,344.02954,1,1
1,15,-198.09753,159.30869,1,1
1,16,337.9934,386.35065,0,0
1,17,-153.03992,190.9911,1,1
1,18,356.232,-329.29196,1,1
1,19,153.63524,-148.4805,1,1
1,20,321.93793,91.03203,2,2
1,21,-21.343365,243.67902,0,0
1,22,-256.7621,-183.46245,0,0
1,23,-334.70172,-385.38684,0,0
2,0,89.27543,214.351,0,0
2,1,56.616753,98.49083,1,1
2,2,22.435612,-256.73718,0,0
2,3,-45.81838,125.16281,0,0
2,4,-130.90063,310.14996,1,1
2,5,301.738,129.0379,2,2
2,6,294.32306,111.01439,2,2
2,7,387.70618,-206.90715,0,0
2,8,133.47491,-134.53394,1,1
2,9,216.6473,103.88188,0,0
2,10,233.469,-231.31384,0,0
2,11,381.80096,-324.19852,1,1
2,12,96.79011,111.023575,1,1
2,13,-17.16411,-168.82492,0,0
2,14,-111.757034,346.98486,1,1
2,15,-195.11388,159.62135,1,1
2,16,335.43576,387.91858,0,0
2,17,-150.87541,193.06833,1,1
2,18,354.83994,-326.6345,1,1
2,19,153.792,-151.4764,1,1
2,20,319.4531,89.35107,2,2
2,21,-23.796503,245.4059,0,0
2,22,-256.92975,-180.46713,0,0
2,23,-332.82263,-383.04825,0,0
3,0,86.73717,215.95013,0,0
3,1,53.91284,99.79039,1,1
3,2,20.293968,-254.63638,0,0
3,3,-45.911633,128.16136,0,0
3,4,-128.9224,307.89462,1,1
3,5,300.1281,127.11349,2,2
3,6,292.83118,108.41165,2,2
3,7,387.03278,-203.9837,0,0
3,8,135.00694,-131.95462,1,1
3,9,219.63472,103.607574,0,0
3,10,235.67743,-233.34431,0,0
3,11,384.7627,-323.7209,1,1
3,12,99.16859,109.19524,1,1
3,13,-20.157492,-169.02408,0,0
3,14,-113.15738,349.63797,1,1
3,15,-192.23041,158.79335,1,1
3,16,332.69147,389.13052,0,0
3,17,-148.87624,195.30513,1,1
3,18,353.0898,-324.19788,1,1
3,19,154.37271,-154.41966,1,1
3,20,317.25272,87.31186,2,2
3,21,-25.887072,247.55753,0,0
3,22,-257.39563,-177.50352,0,0
3,23,-331.31497,-380.4546,0,0
4,0,84.0535,217.291,0,0
4,1,51.142014,100.94039,1,1
4,2,18.28653,-252.407,0,0
4,3,-46.138046,131.1528,0,0
4,4,-126.62946,305.96008,1,1
4,5,298.25662,124.768814,2,2
4,6,291.32996,105.81428,3,1.6666667
4,7,386.98236,-200.98413,0,0
4,8,137.19994,-129.90747,1,1
4,9,222.63452,103.57352,1,2.6000001
4,10,237.90572,-235.35298,0,0
4,11,387.62143,-322.81113,1,1
4,12,101.294,107.07802,1,1
4,13,-23.105537,-169.57999,0,0
4,14,-114.57535,352.2817,1,1
4,15,-189.31465,158.08742,1,1
4,16,330.2331,390.84995,0,0
4,17,-147.9265,198.15083,1,1
4,18,351.7939,-321.4922,1,1
4,19,155.67201,-157.1237,1,1
4,20,315.39587,84.95556,2,2.4
4,21,-27.433338,250.12834,0,0
4,22,-257.24506,-174.50731,0,0
4,23,-329.33484,-378.20093,0,0
5,0,81.36898,218.63016,0,0
5,1,48.250824,101.74103,1,1
5,2,16.541777,-249.96654,0,0
5,3,-45.96412,134.14775,0,0
5,4,-124.83651,303.5548,1,1
5,5,295.53906,123.498024,2,2.4
5,6,289.75027,103.26386,3,1.9333334
5,7,387.359,-198.00787,0,0
5,8,138.53629,-127.22155,1,1
5,9,225.57782,104.15401,1,2.6000001
5,10,239.72852,-237.73572,0,0
5,11,390.53064,-322.07864,1,1
5,12,103.45576,104.997925,1,1
5,13,-26.105537,-169.57803,0,0
5,14,-115.810356,355.01572,1,1
5,15,-186.37788,158.70013,1,1
5,16,333.23172,389.9096,0,0
5,17,-145.92815,200.38837,1,1
5,18,350.71472,-318.69302,1,1
